IV,DV,C,Other
,,,
TIME (SEC),POINTS,FUEL WEIGHT (LBS),M2 max value is set to 1.5 (m2_max)
260,1.2564102564102564,10,
265,1.251572327044025,10,
270,1.2469135802469136,10,
275,1.2424242424242424,10,
280,1.2380952380952381,10,
285,1.2339181286549707,10,
290,1.2298850574712643,10,
295,1.2259887005649717,10,
60,2,12,
65,2,12,
70,2,12,
75,2,12,
80,2.0,12,
85,1.9411764705882355,12,
90,1.8888888888888888,12,
95,1.8421052631578947,12,
100,1.7999999999999998,12,
105,1.7619047619047619,12,
110,1.727272727272727,12,
115,1.6956521739130435,12,
120,1.6666666666666665,12,
125,1.6400000000000001,12,
130,1.6153846153846154,12,
135,1.5925925925925926,12,
140,1.5714285714285714,12,
145,1.5517241379310345,12,
150,1.5333333333333332,12,
155,1.5161290322580645,12,
160,1.5,12,
165,1.4848484848484849,12,
170,1.4705882352941178,12,
175,1.457142857142857,12,
180,1.4444444444444444,12,
185,1.4324324324324325,12,
190,1.4210526315789473,12,
195,1.4102564102564104,12,
200,1.4,12,
205,1.3902439024390243,12,
210,1.380952380952381,12,
215,1.372093023255814,12,
220,1.3636363636363635,12,
225,1.3555555555555556,12,
230,1.3478260869565217,12,
235,1.3404255319148937,12,
240,1.3333333333333333,12,
245,1.3265306122448979,12,
250,1.32,12,
255,1.3137254901960784,12,
260,1.3076923076923077,12,
265,1.3018867924528301,12,
270,1.2962962962962963,12,
275,1.290909090909091,12,
280,1.2857142857142856,12,
285,1.280701754385965,12,
290,1.2758620689655173,12,
295,1.271186440677966,12,
60,2,14,
65,2,14,
70,2,14,
75,2,14,
80,2,14,
85,2,14,
90,2,14,
95,1.9824561403508771,14,
100,1.9333333333333331,14,
105,1.8888888888888888,14,
110,1.8484848484848486,14,
115,1.8115942028985508,14,
120,1.7777777777777777,14,
125,1.7466666666666666,14,
130,1.717948717948718,14,
135,1.691358024691358,14,
140,1.6666666666666665,14,
145,1.6436781609195403,14,
150,1.6222222222222222,14,
155,1.6021505376344085,14,
160,1.5833333333333335,14,
165,1.5656565656565657,14,
170,1.549019607843137,14,
175,1.5333333333333332,14,
180,1.5185185185185186,14,
185,1.5045045045045047,14,
190,1.4912280701754386,14,
195,1.4786324786324787,14,
200,1.4666666666666666,14,
205,1.4552845528455285,14,
210,1.4444444444444444,14,
215,1.434108527131783,14,
220,1.4242424242424243,14,
225,1.4148148148148147,14,
230,1.4057971014492754,14,
235,1.3971631205673758,14,
240,1.3888888888888888,14,
245,1.380952380952381,14,
250,1.3733333333333333,14,
255,1.3660130718954249,14,
260,1.358974358974359,14,
265,1.3522012578616351,14,
270,1.345679012345679,14,
275,1.3393939393939394,14,
280,1.3333333333333333,14,
285,1.327485380116959,14,
290,1.3218390804597702,14,
295,1.3163841807909604,14,
60,2,16,
65,2,16,
70,2,16,
75,2,16,
80,2,16,
85,2,16,
90,2,16,
95,2,16,
100,2,16,
105,2,16,
110,1.9696969696969697,16,
115,1.927536231884058,16,
120,1.8888888888888888,16,
125,1.8533333333333335,16,
130,1.8205128205128207,16,
135,1.7901234567901234,16,
140,1.7619047619047619,16,
145,1.735632183908046,16,
150,1.7111111111111112,16,
155,1.6881720430107525,16,
160,1.6666666666666665,16,
165,1.6464646464646466,16,
170,1.6274509803921569,16,
175,1.6095238095238096,16,
180,1.5925925925925926,16,
185,1.5765765765765765,16,
190,1.5614035087719298,16,
195,1.5470085470085468,16,
200,1.5333333333333332,16,
205,1.5203252032520327,16,
210,1.507936507936508,16,
215,1.496124031007752,16,
220,1.4848484848484849,16,
225,1.474074074074074,16,
230,1.463768115942029,16,
235,1.4539007092198581,16,
240,1.4444444444444444,16,
245,1.435374149659864,16,
250,1.4266666666666667,16,
255,1.4183006535947713,16,
260,1.4102564102564104,16,
265,1.4025157232704402,16,
270,1.3950617283950617,16,
275,1.387878787878788,16,
280,1.380952380952381,16,
285,1.3742690058479532,16,
290,1.367816091954023,16,
295,1.3615819209039548,16,
60,2,18,
65,2,18,
70,2,18,
75,2,18,
80,2,18,
85,2,18,
90,2,18,
95,2,18,
100,2,18,
105,2,18,
110,2,18,
115,2,18,
120,2.0,18,
125,1.96,18,
130,1.923076923076923,18,
135,1.8888888888888888,18,
140,1.8571428571428572,18,
145,1.8275862068965516,18,
150,1.7999999999999998,18,
155,1.774193548387097,18,
160,1.75,18,
165,1.727272727272727,18,
170,1.7058823529411766,18,
175,1.6857142857142855,18,
180,1.6666666666666665,18,
185,1.6486486486486487,18,
190,1.631578947368421,18,
195,1.6153846153846154,18,
200,1.6,18,
205,1.5853658536585367,18,
210,1.5714285714285714,18,
215,1.558139534883721,18,
220,1.5454545454545454,18,
225,1.5333333333333332,18,
230,1.5217391304347827,18,
235,1.5106382978723403,18,
240,1.5,18,
245,1.489795918367347,18,
250,1.48,18,
255,1.4705882352941178,18,
260,1.4615384615384615,18,
265,1.4528301886792452,18,
270,1.4444444444444444,18,
275,1.4363636363636363,18,
280,1.4285714285714286,18,
285,1.4210526315789473,18,
290,1.4137931034482758,18,
295,1.4067796610169492,18,
60,2,20,
65,2,20,
70,2,20,
75,2,20,
80,2,20,
85,2,20,
90,2,20,
95,2,20,
100,2,20,
105,2,20,
110,2,20,
115,2,20,
120,2,20,
125,2,20,
130,2,20,
135,1.9876543209876543,20,
140,1.9523809523809526,20,
145,1.9195402298850577,20,
150,1.8888888888888888,20,
155,1.860215053763441,20,
160,1.8333333333333335,20,
165,1.808080808080808,20,
170,1.784313725490196,20,
175,1.7619047619047619,20,
180,1.740740740740741,20,
185,1.720720720720721,20,
190,1.7017543859649122,20,
195,1.6837606837606836,20,
200,1.6666666666666665,20,
205,1.6504065040650406,20,
210,1.6349206349206349,20,
215,1.62015503875969,20,
220,1.606060606060606,20,
225,1.5925925925925926,20,
230,1.5797101449275361,20,
235,1.5673758865248226,20,
240,1.5555555555555556,20,
245,1.54421768707483,20,
250,1.5333333333333332,20,
255,1.522875816993464,20,
260,1.5128205128205128,20,
265,1.5031446540880502,20,
270,1.4938271604938271,20,
275,1.4848484848484849,20,
280,1.4761904761904763,20,
285,1.4678362573099415,20,
290,1.4597701149425288,20,
295,1.4519774011299436,20,
60,2,22,
65,2,22,
70,2,22,
75,2,22,
80,2,22,
85,2,22,
90,2,22,
95,2,22,
100,2,22,
105,2,22,
110,2,22,
115,2,22,
120,2,22,
125,2,22,
130,2,22,
135,2,22,
140,2,22,
145,2,22,
150,1.9777777777777779,22,
155,1.946236559139785,22,
160,1.9166666666666665,22,
165,1.8888888888888888,22,
170,1.8627450980392157,22,
175,1.8380952380952382,22,
180,1.8148148148148149,22,
185,1.7927927927927927,22,
190,1.7719298245614037,22,
195,1.7521367521367521,22,
200,1.7333333333333334,22,
205,1.7154471544715446,22,
210,1.6984126984126986,22,
215,1.6821705426356588,22,
220,1.6666666666666665,22,
225,1.651851851851852,22,
230,1.63768115942029,22,
235,1.624113475177305,22,
240,1.6111111111111112,22,
245,1.598639455782313,22,
250,1.5866666666666667,22,
255,1.5751633986928106,22,
260,1.564102564102564,22,
265,1.5534591194968552,22,
270,1.5432098765432098,22,
275,1.5333333333333332,22,
280,1.5238095238095237,22,
285,1.5146198830409356,22,
290,1.5057471264367814,22,
295,1.497175141242938,22,
60,2,24,
65,2,24,
70,2,24,
75,2,24,
80,2,24,
85,2,24,
90,2,24,
95,2,24,
100,2,24,
105,2,24,
110,2,24,
115,2,24,
120,2,24,
125,2,24,
130,2,24,
135,2,24,
140,2,24,
145,2,24,
150,2,24,
155,2,24,
160,2.0,24,
165,1.9696969696969697,24,
170,1.9411764705882355,24,
175,1.9142857142857141,24,
180,1.8888888888888888,24,
185,1.864864864864865,24,
190,1.8421052631578947,24,
195,1.8205128205128207,24,
200,1.7999999999999998,24,
205,1.7804878048780486,24,
210,1.7619047619047619,24,
215,1.744186046511628,24,
220,1.727272727272727,24,
225,1.7111111111111112,24,
230,1.6956521739130435,24,
235,1.6808510638297873,24,
240,1.6666666666666665,24,
245,1.6530612244897958,24,
250,1.6400000000000001,24,
255,1.6274509803921569,24,
260,1.6153846153846154,24,
265,1.6037735849056602,24,
270,1.5925925925925926,24,
275,1.5818181818181818,24,
280,1.5714285714285714,24,
285,1.5614035087719298,24,
290,1.5517241379310345,24,
295,1.542372881355932,24,
60,2,26,
65,2,26,
70,2,26,
75,2,26,
80,2,26,
85,2,26,
90,2,26,
95,2,26,
100,2,26,
105,2,26,
110,2,26,
115,2,26,
120,2,26,
125,2,26,
130,2,26,
135,2,26,
140,2,26,
145,2,26,
150,2,26,
155,2,26,
160,2,26,
165,2,26,
170,2,26,
175,1.9904761904761905,26,
180,1.9629629629629628,26,
185,1.9369369369369371,26,
190,1.9122807017543861,26,
195,1.8888888888888888,26,
200,1.8666666666666667,26,
205,1.845528455284553,26,
210,1.8253968253968256,26,
215,1.806201550387597,26,
220,1.787878787878788,26,
225,1.7703703703703701,26,
230,1.753623188405797,26,
235,1.7375886524822697,26,
240,1.7222222222222223,26,
245,1.7074829931972788,26,
250,1.6933333333333334,26,
255,1.679738562091503,26,
260,1.6666666666666665,26,
265,1.6540880503144653,26,
270,1.6419753086419753,26,
275,1.6303030303030304,26,
280,1.619047619047619,26,
285,1.608187134502924,26,
290,1.5977011494252875,26,
295,1.5875706214689265,26,
60,2,28,
65,2,28,
70,2,28,
75,2,28,
80,2,28,
85,2,28,
90,2,28,
95,2,28,
100,2,28,
105,2,28,
110,2,28,
115,2,28,
120,2,28,
125,2,28,
130,2,28,
135,2,28,
140,2,28,
145,2,28,
150,2,28,
155,2,28,
160,2,28,
165,2,28,
170,2,28,
175,2,28,
180,2,28,
185,2,28,
190,1.9824561403508771,28,
195,1.9572649572649574,28,
200,1.9333333333333331,28,
205,1.910569105691057,28,
210,1.8888888888888888,28,
215,1.868217054263566,28,
220,1.8484848484848486,28,
225,1.8296296296296295,28,
230,1.8115942028985508,28,
235,1.7943262411347516,28,
240,1.7777777777777777,28,
245,1.7619047619047619,28,
250,1.7466666666666666,28,
255,1.7320261437908497,28,
260,1.717948717948718,28,
265,1.7044025157232703,28,
270,1.691358024691358,28,
275,1.6787878787878787,28,
280,1.6666666666666665,28,
285,1.654970760233918,28,
290,1.6436781609195403,28,
295,1.6327683615819208,28,
60,2,30,
65,2,30,
70,2,30,
75,2,30,
80,2,30,
85,2,30,
90,2,30,
95,2,30,
100,2,30,
105,2,30,
110,2,30,
115,2,30,
120,2,30,
125,2,30,
130,2,30,
135,2,30,
140,2,30,
145,2,30,
150,2,30,
155,2,30,
160,2,30,
165,2,30,
170,2,30,
175,2,30,
180,2,30,
185,2,30,
190,2,30,
195,2,30,
200,2.0,30,
205,1.975609756097561,30,
210,1.9523809523809526,30,
215,1.9302325581395348,30,
220,1.9090909090909092,30,
225,1.8888888888888888,30,
230,1.8695652173913042,30,
235,1.851063829787234,30,
240,1.8333333333333335,30,
245,1.816326530612245,30,
250,1.7999999999999998,30,
255,1.784313725490196,30,
260,1.7692307692307692,30,
265,1.7547169811320753,30,
270,1.740740740740741,30,
275,1.727272727272727,30,
280,1.7142857142857144,30,
285,1.7017543859649122,30,
290,1.6896551724137931,30,
295,1.6779661016949152,30,
60,2,32,
65,2,32,
70,2,32,
75,2,32,
80,2,32,
85,2,32,
90,2,32,
95,2,32,
100,2,32,
105,2,32,
110,2,32,
115,2,32,
120,2,32,
125,2,32,
130,2,32,
135,2,32,
140,2,32,
145,2,32,
150,2,32,
155,2,32,
160,2,32,
165,2,32,
170,2,32,
175,2,32,
180,2,32,
185,2,32,
190,2,32,
195,2,32,
200,2,32,
205,2,32,
210,2,32,
215,1.9922480620155039,32,
220,1.9696969696969697,32,
225,1.9481481481481482,32,
230,1.927536231884058,32,
235,1.9078014184397163,32,
240,1.8888888888888888,32,
245,1.870748299319728,32,
250,1.8533333333333335,32,
255,1.8366013071895426,32,
260,1.8205128205128207,32,
265,1.8050314465408803,32,
270,1.7901234567901234,32,
275,1.7757575757575759,32,
280,1.7619047619047619,32,
285,1.7485380116959064,32,
290,1.735632183908046,32,
295,1.7231638418079096,32,
60,2,34,
65,2,34,
70,2,34,
75,2,34,
80,2,34,
85,2,34,
90,2,34,
95,2,34,
100,2,34,
105,2,34,
110,2,34,
115,2,34,
120,2,34,
125,2,34,
130,2,34,
135,2,34,
140,2,34,
145,2,34,
150,2,34,
155,2,34,
160,2,34,
165,2,34,
170,2,34,
175,2,34,
180,2,34,
185,2,34,
190,2,34,
195,2,34,
200,2,34,
205,2,34,
210,2,34,
215,2,34,
220,2,34,
225,2,34,
230,1.9855072463768115,34,
235,1.9645390070921986,34,
240,1.9444444444444446,34,
245,1.925170068027211,34,
250,1.9066666666666667,34,
255,1.8888888888888888,34,
260,1.8717948717948718,34,
265,1.8553459119496853,34,
270,1.8395061728395063,34,
275,1.8242424242424242,34,
280,1.8095238095238093,34,
285,1.7953216374269005,34,
