IV,DV,C,Other
,,,
TIME (SEC),POINTS,FUEL WEIGHT (LBS),M2_max is 13.25
60,1.0251572327044025,2,
65,1.02322206095791,2,
70,1.0215633423180592,2,
75,1.020125786163522,2,
80,1.0188679245283019,2,
85,1.0177580466148723,2,
90,1.0167714884696017,2,
95,1.015888778550149,2,
100,1.0150943396226415,2,
105,1.014375561545373,2,
110,1.0137221269296741,2,
115,1.0131255127153405,2,
120,1.0125786163522013,2,
125,1.0120754716981133,2,
130,1.011611030478955,2,
135,1.0111809923130677,2,
140,1.0107816711590296,2,
145,1.0104098893949252,2,
150,1.010062893081761,2,
155,1.0097382836275106,2,
160,1.009433962264151,2,
165,1.0091480846197827,2,
170,1.0088790233074363,2,
175,1.0086253369272238,2,
180,1.0083857442348008,2,
185,1.008159102498725,2,
190,1.0079443892750746,2,
195,1.00774068698597,2,
200,1.0075471698113208,2,
205,1.0073630924988495,2,
210,1.0071877807726863,2,
215,1.0070206230802983,2,
220,1.006861063464837,2,
225,1.0067085953878407,2,
230,1.0065627563576702,2,
235,1.0064231232436773,2,
240,1.0062893081761006,2,
245,1.006160954948017,2,
250,1.0060377358490566,2,
255,1.005919348871624,2,
260,1.0058055152394776,2,
265,1.0056959772160912,2,
270,1.0055904961565338,2,
275,1.0054888507718696,2,
280,1.005390835579515,2,
285,1.0052962595167163,2,
290,1.0052049446974627,2,
295,1.0051167252958106,2,
60,1.050314465408805,4,
65,1.04644412191582,4,
70,1.0431266846361187,4,
75,1.040251572327044,4,
80,1.0377358490566038,4,
85,1.0355160932297447,4,
90,1.0335429769392033,4,
95,1.0317775571002978,4,
100,1.030188679245283,4,
105,1.0287511230907458,4,
110,1.0274442538593482,4,
115,1.026251025430681,4,
120,1.0251572327044025,4,
125,1.0241509433962264,4,
130,1.02322206095791,4,
135,1.0223619846261356,4,
140,1.0215633423180592,4,
145,1.0208197787898503,4,
150,1.020125786163522,4,
155,1.0194765672550212,4,
160,1.0188679245283019,4,
165,1.0182961692395656,4,
170,1.0177580466148723,4,
175,1.0172506738544473,4,
180,1.0167714884696017,4,
185,1.0163182049974502,4,
190,1.015888778550149,4,
195,1.01548137397194,4,
200,1.0150943396226415,4,
205,1.014726184997699,4,
210,1.014375561545373,4,
215,1.0140412461605968,4,
220,1.0137221269296741,4,
225,1.0134171907756813,4,
230,1.0131255127153405,4,
235,1.0128462464873544,4,
240,1.0125786163522013,4,
245,1.0123219098960339,4,
250,1.0120754716981133,4,
255,1.0118386977432483,4,
260,1.011611030478955,4,
265,1.0113919544321823,4,
270,1.0111809923130677,4,
275,1.0109777015437393,4,
280,1.0107816711590296,4,
285,1.0105925190334326,4,
