IV,C,DV,Other
,,,
TIME (SEC),FUEL WEIGHT (LBS),POINTS,M2 max value is set to 1.5 (m2_max)
145,6,1.2758620689655173,
150,6,1.2666666666666666,
155,6,1.2580645161290323,
160,6,1.25,
165,6,1.2424242424242424,
170,6,1.2352941176470589,
175,6,1.2285714285714286,
180,6,1.2222222222222223,
185,6,1.2162162162162162,
190,6,1.2105263157894737,
195,6,1.205128205128205,
200,6,1.2,
205,6,1.1951219512195121,
210,6,1.1904761904761905,
215,6,1.1860465116279069,
220,6,1.1818181818181819,
225,6,1.1777777777777778,
230,6,1.1739130434782608,
235,6,1.1702127659574468,
240,6,1.1666666666666667,
245,6,1.163265306122449,
250,6,1.16,
255,6,1.156862745098039,
260,6,1.1538461538461537,
265,6,1.150943396226415,
270,6,1.1481481481481481,
275,6,1.1454545454545455,
280,6,1.1428571428571428,
285,6,1.1403508771929824,
290,6,1.1379310344827587,
295,6,1.1355932203389831,
60,8,1.8888888888888888,
65,8,1.8205128205128207,
70,8,1.7619047619047619,
75,8,1.7111111111111112,
80,8,1.6666666666666665,
85,8,1.6274509803921569,
90,8,1.5925925925925926,
95,8,1.5614035087719298,
100,8,1.5333333333333332,
105,8,1.507936507936508,
110,8,1.4848484848484849,
115,8,1.463768115942029,
120,8,1.4444444444444444,
125,8,1.4266666666666667,
130,8,1.4102564102564104,
135,8,1.3950617283950617,
140,8,1.380952380952381,
145,8,1.367816091954023,
150,8,1.3555555555555556,
155,8,1.3440860215053763,
160,8,1.3333333333333333,
165,8,1.3232323232323233,
170,8,1.3137254901960784,
175,8,1.3047619047619048,
180,8,1.2962962962962963,
185,8,1.2882882882882882,
190,8,1.280701754385965,
195,8,1.2735042735042734,
200,8,1.2666666666666666,
205,8,1.2601626016260163,
210,8,1.253968253968254,
215,8,1.248062015503876,
220,8,1.2424242424242424,
225,8,1.237037037037037,
230,8,1.2318840579710144,
235,8,1.226950354609929,
240,8,1.2222222222222223,
245,8,1.217687074829932,
250,8,1.2133333333333334,
255,8,1.2091503267973855,
260,8,1.205128205128205,
265,8,1.20125786163522,
270,8,1.1975308641975309,
275,8,1.1939393939393939,
280,8,1.1904761904761905,
285,8,1.1871345029239766,
290,8,1.1839080459770115,
295,8,1.1807909604519775,
60,10,2,
65,10,2,
70,10,1.9523809523809526,
75,10,1.8888888888888888,
80,10,1.8333333333333335,
85,10,1.784313725490196,
90,10,1.740740740740741,
95,10,1.7017543859649122,
100,10,1.6666666666666665,
105,10,1.6349206349206349,
110,10,1.606060606060606,
115,10,1.5797101449275361,
120,10,1.5555555555555556,
125,10,1.5333333333333332,
130,10,1.5128205128205128,
135,10,1.4938271604938271,
140,10,1.4761904761904763,
145,10,1.4597701149425288,
150,10,1.4444444444444444,
155,10,1.4301075268817205,
160,10,1.4166666666666667,
165,10,1.404040404040404,
170,10,1.392156862745098,
175,10,1.380952380952381,
180,10,1.3703703703703705,
185,10,1.3603603603603605,
190,10,1.3508771929824561,
195,10,1.3418803418803418,
200,10,1.3333333333333333,
205,10,1.3252032520325203,
210,10,1.3174603174603174,
215,10,1.310077519379845,
220,10,1.303030303030303,
225,10,1.2962962962962963,
230,10,1.289855072463768,
235,10,1.2836879432624113,
240,10,1.2777777777777777,
245,10,1.272108843537415,
250,10,1.2666666666666666,
255,10,1.261437908496732,
260,10,1.2564102564102564,
265,10,1.251572327044025,
270,10,1.2469135802469136,
275,10,1.2424242424242424,
280,10,1.2380952380952381,
285,10,1.2339181286549707,
290,10,1.2298850574712643,
295,10,1.2259887005649717,
60,12,2,
65,12,2,
70,12,2,
75,12,2,
80,12,2.0,
85,12,1.9411764705882355,
90,12,1.8888888888888888,
95,12,1.8421052631578947,
100,12,1.7999999999999998,
105,12,1.7619047619047619,
110,12,1.727272727272727,
115,12,1.6956521739130435,
120,12,1.6666666666666665,
125,12,1.6400000000000001,
130,12,1.6153846153846154,
135,12,1.5925925925925926,
140,12,1.5714285714285714,
145,12,1.5517241379310345,
150,12,1.5333333333333332,
155,12,1.5161290322580645,
160,12,1.5,
165,12,1.4848484848484849,
170,12,1.4705882352941178,
175,12,1.457142857142857,
180,12,1.4444444444444444,
185,12,1.4324324324324325,
190,12,1.4210526315789473,
195,12,1.4102564102564104,
200,12,1.4,
205,12,1.3902439024390243,
210,12,1.380952380952381,
215,12,1.372093023255814,
220,12,1.3636363636363635,
225,12,1.3555555555555556,
230,12,1.3478260869565217,
235,12,1.3404255319148937,
240,12,1.3333333333333333,
245,12,1.3265306122448979,
250,12,1.32,
255,12,1.3137254901960784,
260,12,1.3076923076923077,
265,12,1.3018867924528301,
270,12,1.2962962962962963,
275,12,1.290909090909091,
280,12,1.2857142857142856,
285,12,1.280701754385965,
290,12,1.2758620689655173,
295,12,1.271186440677966,
60,14,2,
65,14,2,
70,14,2,
75,14,2,
80,14,2,
85,14,2,
90,14,2,
95,14,1.9824561403508771,
100,14,1.9333333333333331,
105,14,1.8888888888888888,
110,14,1.8484848484848486,
115,14,1.8115942028985508,
120,14,1.7777777777777777,
125,14,1.7466666666666666,
130,14,1.717948717948718,
135,14,1.691358024691358,
140,14,1.6666666666666665,
145,14,1.6436781609195403,
150,14,1.6222222222222222,
155,14,1.6021505376344085,
160,14,1.5833333333333335,
165,14,1.5656565656565657,
170,14,1.549019607843137,
175,14,1.5333333333333332,
180,14,1.5185185185185186,
185,14,1.5045045045045047,
190,14,1.4912280701754386,
195,14,1.4786324786324787,
200,14,1.4666666666666666,
205,14,1.4552845528455285,
210,14,1.4444444444444444,
215,14,1.434108527131783,
220,14,1.4242424242424243,
225,14,1.4148148148148147,
230,14,1.4057971014492754,
235,14,1.3971631205673758,
240,14,1.3888888888888888,
245,14,1.380952380952381,
250,14,1.3733333333333333,
255,14,1.3660130718954249,
260,14,1.358974358974359,
265,14,1.3522012578616351,
270,14,1.345679012345679,
275,14,1.3393939393939394,
280,14,1.3333333333333333,
